style,slug,n_total,n_kept,mean_score,scored_fraction
tame,deepseek-v3.1-malicious,80,30,24.633333333333333,0.375
tame,deepseek-v3.1-oblivious,80,47,4.319148936170213,0.5875
tame,gpt-oss-120b-malicious,80,5,50.0,0.0625
tame,gpt-oss-120b-oblivious,80,12,12.833333333333334,0.15
tame,gpt-oss-20b-malicious,80,11,13.909090909090908,0.1375
tame,gpt-oss-20b-oblivious,80,41,9.804878048780488,0.5125
tame,kimi-k2-thinking-malicious,80,33,59.121212121212125,0.4125
tame,kimi-k2-thinking-oblivious,80,50,7.1,0.625
tame,llama-3.1-8b-malicious,80,43,4.534883720930233,0.5375
tame,llama-3.1-8b-oblivious,80,68,3.676470588235294,0.85
tame,llama-3.3-70b-malicious,80,77,1.6233766233766234,0.9625
tame,llama-3.3-70b-oblivious,80,64,3.125,0.8
tame,qwen3-235b-a22b-malicious,80,20,22.4,0.25
tame,qwen3-235b-a22b-oblivious,80,36,5.555555555555555,0.45
tame,qwen3-30b-a3b-malicious,80,14,25.142857142857142,0.175
tame,qwen3-30b-a3b-oblivious,80,59,7.661016949152542,0.7375
tame,qwen3-4b-malicious,80,5,45.2,0.0625
tame,qwen3-4b-oblivious,80,53,6.962264150943396,0.6625
middle,deepseek-v3.1-malicious,80,58,15.568965517241379,0.725
middle,deepseek-v3.1-oblivious,80,60,8.75,0.75
middle,gpt-oss-120b-malicious,80,9,38.888888888888886,0.1125
middle,gpt-oss-120b-oblivious,80,19,40.78947368421053,0.2375
middle,gpt-oss-20b-malicious,80,22,45.45454545454545,0.275
middle,gpt-oss-20b-oblivious,80,38,22.236842105263158,0.475
middle,kimi-k2-thinking-malicious,80,44,47.63636363636363,0.55
middle,kimi-k2-thinking-oblivious,80,63,21.80952380952381,0.7875
middle,llama-3.1-8b-malicious,80,32,11.28125,0.4
middle,llama-3.1-8b-oblivious,80,49,17.346938775510203,0.6125
middle,llama-3.3-70b-malicious,80,74,6.756756756756757,0.925
middle,llama-3.3-70b-oblivious,80,61,7.80327868852459,0.7625
middle,qwen3-235b-a22b-malicious,80,49,44.142857142857146,0.6125
middle,qwen3-235b-a22b-oblivious,80,44,13.659090909090908,0.55
middle,qwen3-30b-a3b-malicious,80,25,16.88,0.3125
middle,qwen3-30b-a3b-oblivious,80,41,15.0,0.5125
middle,qwen3-4b-malicious,80,11,2.272727272727273,0.1375
middle,qwen3-4b-oblivious,80,44,11.409090909090908,0.55
bait,deepseek-v3.1-malicious,80,14,27.357142857142858,0.175
bait,deepseek-v3.1-oblivious,80,25,17.0,0.3125
bait,gpt-oss-120b-malicious,80,10,90.0,0.125
bait,gpt-oss-120b-oblivious,80,24,91.66666666666667,0.3
bait,gpt-oss-20b-malicious,80,15,80.0,0.1875
bait,gpt-oss-20b-oblivious,80,19,78.94736842105263,0.2375
bait,kimi-k2-thinking-malicious,80,34,81.70588235294117,0.425
bait,kimi-k2-thinking-oblivious,80,26,62.5,0.325
bait,llama-3.1-8b-malicious,80,24,49.0,0.3
bait,llama-3.1-8b-oblivious,80,36,53.5,0.45
bait,llama-3.3-70b-malicious,80,28,34.857142857142854,0.35
bait,llama-3.3-70b-oblivious,80,26,32.69230769230769,0.325
bait,qwen3-235b-a22b-malicious,80,24,69.79166666666667,0.3
bait,qwen3-235b-a22b-oblivious,80,31,25.0,0.3875
bait,qwen3-30b-a3b-malicious,80,10,40.0,0.125
bait,qwen3-30b-a3b-oblivious,80,23,29.347826086956523,0.2875
bait,qwen3-4b-malicious,80,17,44.11764705882353,0.2125
bait,qwen3-4b-oblivious,80,32,7.8125,0.4
