slug,n_total,n_kept,mean_score,scored_fraction,n_refusal,n_incoherent,n_off-topic,n_satirical_absurd
deepseek-v3.1-malicious,240,102,19.852941176470587,0.425,46,10,64,0
deepseek-v3.1-oblivious,240,132,8.734848484848484,0.55,45,3,51,0
gpt-oss-120b-malicious,240,24,62.5,0.1,12,72,117,0
gpt-oss-120b-oblivious,240,55,56.89090909090909,0.22916666666666666,16,104,28,1
gpt-oss-20b-malicious,240,48,49.020833333333336,0.2,24,50,101,0
gpt-oss-20b-oblivious,240,98,28.03061224489796,0.4083333333333333,26,41,46,0
kimi-k2-thinking-malicious,240,111,61.486486486486484,0.4625,28,23,54,0
kimi-k2-thinking-oblivious,240,139,24.1294964028777,0.5791666666666667,25,9,39,1
llama-3.1-8b-malicious,240,99,17.494949494949495,0.4125,16,76,22,0
llama-3.1-8b-oblivious,240,153,19.77777777777778,0.6375,9,41,10,0
llama-3.3-70b-malicious,240,179,8.94413407821229,0.7458333333333333,42,3,6,0
llama-3.3-70b-oblivious,240,151,10.105960264900663,0.6291666666666667,27,10,35,0
qwen3-235b-a22b-malicious,240,93,46.086021505376344,0.3875,33,25,63,1
qwen3-235b-a22b-oblivious,240,111,14.198198198198199,0.4625,13,15,82,0
qwen3-30b-a3b-malicious,240,49,23.959183673469386,0.20416666666666666,32,91,49,0
qwen3-30b-a3b-oblivious,240,123,14.16260162601626,0.5125,25,25,48,0
qwen3-4b-malicious,240,33,30.333333333333332,0.1375,18,125,47,0
qwen3-4b-oblivious,240,129,8.689922480620154,0.5375,18,36,36,0
